,Total_years,censored,Baseline,Predicted_income,Married,Male,ACGC,Celebrity breakfast,Golf,Personal_connection,Mean_Pred_Total_years,Med_Pred_Total_years
63,0.528405201916,1,1,-1.12048219436,0.0,0.0,False,False,False,False,16.4606542539,16.5241670661
64,0.528405201916,1,1,-0.746378041239,0.0,0.0,False,False,False,False,16.7433645722,16.7259773501
65,0.528405201916,1,1,-0.84534878151,0.0,0.0,False,False,False,False,16.6630526602,16.6745393259
122,0.169746748802,1,1,0.849189563242,0.0,1.0,False,False,False,False,30.879044299,30.9108282871
123,1.04859685147,1,1,0.530402152101,0.0,0.0,False,False,False,True,18.7518202779,18.3676343198
143,0.843258042437,1,1,-1.69310020267,0.0,0.0,False,False,False,False,16.1241877789,16.0618646369
154,0.309377138946,1,1,-0.845768128275,1.0,1.0,False,False,False,True,22.736696305,22.7899347014
163,0.889801505818,1,1,-1.1479494075,0.0,1.0,False,False,False,True,29.2250152887,29.2112646108
165,1.12251882272,1,1,-0.12986874128,0.0,0.0,False,False,False,False,17.3422655241,17.3347965631
170,1.0431211499,1,1,-1.52869530325,1.0,1.0,False,False,False,False,21.7447465171,21.7983541807
186,0.985626283368,1,1,-0.868161245553,0.0,1.0,False,False,False,True,29.6340403317,29.4628526579
192,0.813141683778,1,1,-0.642594620385,0.0,1.0,False,False,False,False,28.5148071591,28.3823562877
209,0.591375770021,1,1,0.849189563242,1.0,1.0,False,False,False,True,24.5688700931,24.5170917675
224,0.988364134155,1,1,0.530402152101,1.0,0.0,False,False,False,False,14.9473683787,14.9080191283
227,0.542094455852,1,1,0.530402152101,1.0,1.0,False,False,False,False,24.3655535223,24.31930911
228,0.980150581793,1,1,-1.8927931324,0.0,0.0,False,False,False,True,17.2353343196,16.8926969188
231,0.788501026694,1,1,-1.20879662318,0.0,0.0,False,False,False,False,16.4020460743,16.448888096
233,0.492813141684,1,1,-0.642594620385,0.0,1.0,False,False,False,True,29.9768550609,29.9339731584
235,0.490075290897,1,1,-0.417153799247,0.0,0.0,False,False,True,True,4.63305024908,4.0045520279
239,0.966461327858,1,1,-1.12075476976,0.0,0.0,False,False,False,True,17.5891914193,17.3641949144
240,0.977412731006,1,1,0.849189563242,0.0,0.0,False,False,False,True,19.0955862511,18.7422389205
241,0.988364134155,1,1,0.849189563242,1.0,0.0,False,False,False,True,14.893786794,14.9058859677
242,0.659822039699,1,1,0.849189563242,1.0,0.0,False,False,False,True,14.893786794,14.9058859677
245,0.988364134155,1,1,0.530402152101,1.0,0.0,False,False,False,True,14.6277043067,14.5657521999
249,0.988364134155,1,1,0.530402152101,1.0,0.0,False,False,False,True,14.6277043067,14.5657521999
251,0.985626283368,1,1,-1.25144418923,0.0,1.0,False,False,False,True,29.0782551604,29.114616172
252,0.00273785078713,1,1,-0.642594620385,1.0,1.0,False,False,False,False,22.7249537085,22.7956772724
254,0.985626283368,1,1,0.849189563242,1.0,1.0,False,False,False,True,24.5688700931,24.5170917675
258,0.988364134155,1,1,0.849189563242,1.0,0.0,False,False,False,True,14.893786794,14.9058859677
259,1.51676933607,1,1,0.849189563242,0.0,1.0,False,False,False,True,32.4554680083,32.3388787619
260,1.66735112936,1,1,-0.153950801874,1.0,0.0,False,False,False,True,14.1481253287,14.0043782087
262,1.01026694045,1,1,-1.10676955513,0.0,0.0,False,False,False,True,17.5960837308,17.3851831327
268,1.64544832307,1,1,-0.453720837199,0.0,1.0,False,False,False,True,30.2710075497,30.2153168178
269,0.985626283368,1,1,0.849189563242,1.0,1.0,False,False,False,True,24.5688700931,24.5170917675
272,0.985626283368,1,1,0.849189563242,0.0,0.0,False,False,False,True,19.0955862511,18.7422389205
273,1.04585900068,1,1,0.530402152101,0.0,0.0,False,False,False,True,18.7518202779,18.3676343198
274,0.985626283368,1,1,-0.845768128275,1.0,0.0,False,False,False,True,13.7697615622,13.5890195139
276,0.490075290897,1,1,-0.417153799247,1.0,0.0,False,False,False,True,13.9929738446,13.7762256801
280,1.56331279945,1,1,0.530402152101,1.0,1.0,False,False,False,False,24.3655535223,24.31930911
287,0.988364134155,1,1,-1.52869530325,0.0,0.0,False,False,False,False,16.2110114208,16.214564202
288,0.988364134155,1,1,0.530402152101,0.0,0.0,False,False,False,True,18.7518202779,18.3676343198
296,0.761122518823,1,1,-0.84534878151,0.0,1.0,False,False,False,False,28.2514801339,27.99606612
297,0.758384668036,1,1,-1.51286496285,0.0,0.0,False,False,False,False,16.2199025415,16.2238154732
299,1.74127310062,1,1,-0.153950801874,0.0,1.0,False,False,False,False,29.2093921413,29.0871737088
303,1.65639972621,1,1,0.849189563242,0.0,1.0,False,False,False,True,32.4554680083,32.3388787619
307,1.01300479124,1,1,-0.858767878006,0.0,1.0,False,False,False,False,28.2347199096,27.9773378858
314,1.01300479124,1,1,-1.45455479511,0.0,0.0,False,False,False,False,16.2534508499,16.2512922676
315,1.01300479124,1,1,-0.858767878006,0.0,1.0,False,False,False,False,28.2347199096,27.9773378858
316,2.03696098563,1,1,-0.858767878006,0.0,1.0,False,False,False,False,28.2347199096,27.9773378858
319,1.32785763176,1,1,0.595610574138,0.0,1.0,False,False,False,False,30.4330556631,30.3797829856
320,1.43737166324,1,1,0.795177699844,1.0,0.0,False,False,False,True,14.84654095,14.8396642919
322,1.97672826831,1,1,-0.927247204814,0.0,0.0,False,False,False,False,16.599633068,16.6243287319
327,1.67556468172,1,1,0.530402152101,1.0,0.0,False,False,False,True,14.6277043067,14.5657521999
328,0.966461327858,1,1,0.530402152101,1.0,0.0,False,False,False,True,14.6277043067,14.5657521999
333,1.11978097194,1,1,-1.98846709695,1.0,1.0,False,False,False,True,22.0637200556,22.1020203797
339,1.11978097194,1,1,-0.106588149414,0.0,0.0,False,False,False,True,18.2090968229,17.8836198611
342,1.79603011636,1,1,0.849189563242,1.0,0.0,False,False,True,True,4.15039869637,3.83254026997
343,2.23682409309,1,1,0.849189563242,1.0,1.0,False,False,True,True,5.7772481961,5.00575095113
344,1.67556468172,1,1,-0.453720837199,0.0,1.0,False,False,False,True,30.2710075497,30.2153168178
347,1.0212183436,1,1,0.530402152101,0.0,1.0,False,False,True,True,7.00226381342,5.61614966354
